,Season,GameNumber,TeamCode,RosterCount,D1,D2,F1,F2
345,2010,20223,VAN,18.0,3.0,3.0,5.0,7.0
346,2010,20224,NSH,18.0,1.0,5.0,3.0,9.0
347,2010,20224,STL,18.0,1.0,5.0,3.0,9.0
348,2010,20225,DAL,18.0,1.0,5.0,3.0,9.0
349,2010,20225,LA,18.0,2.0,4.0,5.0,7.0
350,2010,20226,NYI,18.0,0.0,6.0,1.0,11.0
351,2010,20226,SJ,18.0,3.0,3.0,6.0,6.0
352,2010,20229,CBJ,18.0,0.0,6.0,1.0,11.0
353,2010,20229,COL,18.0,1.0,5.0,2.0,10.0
354,2010,20230,FLA,18.0,1.0,5.0,0.0,12.0
355,2010,20230,MIN,18.0,1.0,5.0,2.0,10.0
356,2010,20231,CGY,18.0,1.0,5.0,3.0,9.0
357,2010,20231,PHX,18.0,2.0,4.0,3.0,9.0
358,2010,20232,ANA,18.0,3.0,3.0,5.0,7.0
359,2010,20232,DAL,18.0,1.0,5.0,3.0,9.0
360,2010,20233,BOS,18.0,2.0,4.0,4.0,8.0
361,2010,20233,OTT,18.0,1.0,5.0,1.0,11.0
362,2010,20234,BUF,18.0,2.0,4.0,3.0,9.0
363,2010,20234,WSH,18.0,3.0,3.0,5.0,7.0
364,2010,20235,TOR,18.0,1.0,5.0,2.0,10.0
365,2010,20235,VAN,18.0,3.0,3.0,5.0,7.0
366,2010,20236,CAR,18.0,1.0,5.0,3.0,9.0
367,2010,20236,MTL,18.0,2.0,4.0,3.0,9.0
368,2010,20237,FLA,18.0,1.0,5.0,0.0,12.0
369,2010,20237,PHI,18.0,3.0,3.0,5.0,7.0
370,2010,20239,COL,18.0,1.0,5.0,2.0,10.0
371,2010,20239,DET,18.0,3.0,3.0,5.0,7.0
372,2010,20240,CHI,18.0,2.0,4.0,4.0,8.0
373,2010,20240,NSH,18.0,2.0,4.0,4.0,8.0
374,2010,20241,PHX,18.0,2.0,4.0,3.0,9.0
375,2010,20241,STL,18.0,1.0,5.0,3.0,9.0
376,2010,20242,CGY,18.0,1.0,5.0,3.0,9.0
377,2010,20242,SJ,18.0,3.0,3.0,6.0,6.0
378,2010,20244,EDM,18.0,1.0,5.0,0.0,12.0
379,2010,20244,NYR,18.0,2.0,4.0,4.0,8.0
380,2010,20246,MIN,18.0,0.0,6.0,2.0,10.0
381,2010,20246,TB,18.0,0.0,6.0,2.0,10.0
382,2010,20247,ANA,18.0,3.0,3.0,5.0,7.0
383,2010,20247,CHI,18.0,2.0,4.0,4.0,8.0
384,2010,20248,BOS,18.0,2.0,4.0,4.0,8.0
385,2010,20248,NJ,18.0,0.0,6.0,2.0,10.0
386,2010,20249,BUF,18.0,2.0,4.0,3.0,9.0
387,2010,20249,VAN,18.0,3.0,3.0,5.0,7.0
388,2010,20250,OTT,18.0,1.0,5.0,1.0,11.0
