,Season,TeamCode,RosterCount,MeanF1,MeanF2,MeanD1,MeanD2
0,2010,MTL,18.0,3.1911764705882355,8.808823529411764,1.0441176470588236,4.955882352941177
1,2010,TOR,18.0,1.9857142857142858,10.014285714285714,0.6714285714285714,5.328571428571428
2,2010,PHI,18.0,4.888888888888889,7.111111111111111,2.5694444444444446,3.4305555555555554
3,2010,PIT,18.0,4.295774647887324,7.704225352112676,2.6338028169014085,3.3661971830985915
4,2010,CAR,18.0,2.986842105263158,9.013157894736842,1.1710526315789473,4.828947368421052
5,2010,MIN,18.0,2.5441176470588234,9.455882352941176,0.9705882352941176,5.029411764705882
6,2010,CHI,18.0,3.7884615384615383,8.211538461538462,2.0,4.0
7,2010,COL,18.0,1.90625,10.09375,0.953125,5.046875
8,2010,CGY,18.0,2.9305555555555554,9.069444444444445,1.0,5.0
9,2010,EDM,18.0,0.0,12.0,0.47058823529411764,5.529411764705882
10,2010,CBJ,18.0,1.904109589041096,10.095890410958905,0.0,6.0
11,2010,SJ,18.0,5.769230769230769,6.230769230769231,2.7846153846153845,3.2153846153846155
14,2010,ANA,18.0,4.6923076923076925,7.3076923076923075,2.1076923076923078,3.8923076923076922
15,2010,DET,18.0,4.367647058823529,7.632352941176471,2.7205882352941178,3.2794117647058822
16,2010,BUF,18.0,3.0923076923076924,8.907692307692308,1.8,4.2
17,2010,OTT,18.0,0.7887323943661971,11.211267605633802,0.9154929577464789,5.084507042253521
18,2010,BOS,18.0,4.7631578947368425,7.2368421052631575,2.8157894736842106,3.1842105263157894
19,2010,PHX,18.0,3.739130434782609,8.26086956521739,1.9275362318840579,4.072463768115942
21,2010,NYR,18.0,3.452054794520548,8.547945205479452,1.917808219178082,4.082191780821918
24,2010,DAL,18.0,2.8450704225352115,9.154929577464788,0.9859154929577465,5.014084507042254
25,2010,NYI,18.0,0.9571428571428572,11.042857142857143,0.0,6.0
29,2010,STL,18.0,2.515151515151515,9.484848484848484,0.9545454545454546,5.045454545454546
31,2010,NSH,18.0,3.4583333333333335,8.541666666666666,1.875,4.125
34,2010,LA,18.0,4.771428571428571,7.228571428571429,2.642857142857143,3.357142857142857
35,2010,VAN,18.0,4.767123287671233,7.232876712328767,2.3972602739726026,3.6027397260273974
41,2010,FLA,18.0,0.0,12.0,0.7333333333333333,5.266666666666667
51,2010,WSH,18.0,4.638888888888889,7.361111111111111,2.5694444444444446,3.4305555555555554
59,2010,TB,18.0,2.736842105263158,9.263157894736842,0.0,6.0
77,2010,NJ,18.0,2.1194029850746268,9.880597014925373,0.0,6.0
564,2010,ATL,18.0,0.98,11.02,1.84,4.16
