,Season,TeamCode,PlayerNumber,PlayerName,PlayerPosition,GP,Goals,Assists,Points,GoalsPerGame,AssistsPerGame,PointsPerGame
5089,2010,DET,39.0,MURSAK,L,19.0,1.0,0.0,1.0,0.05263157894736842,0.0,0.05263157894736842
5485,2010,FLA,75.0,TIMMINS,C,19.0,1.0,0.0,1.0,0.05263157894736842,0.0,0.05263157894736842
6056,2010,VAN,40.0,LAPIERRE,C,19.0,1.0,0.0,1.0,0.05263157894736842,0.0,0.05263157894736842
1712,2010,ANA,16.0,PARROS,R,78.0,3.0,1.0,4.0,0.038461538461538464,0.01282051282051282,0.05128205128205128
1607,2010,ANA,28.0,CHIPCHURA,C,39.0,0.0,2.0,2.0,0.0,0.05128205128205128,0.05128205128205128
4555,2010,TOR,59.0,AULIE,D,40.0,2.0,0.0,2.0,0.05,0.0,0.05
138,2010,TOR,28.0,ORR,R,41.0,2.0,0.0,2.0,0.04878048780487805,0.0,0.04878048780487805
4957,2010,EDM,42.0,OMARRA,C,21.0,1.0,0.0,1.0,0.047619047619047616,0.0,0.047619047619047616
4785,2010,MIN,19.0,OSULLIVAN,C,21.0,1.0,0.0,1.0,0.047619047619047616,0.0,0.047619047619047616
740,2010,COL,27.0,QUINCEY,D,21.0,0.0,1.0,1.0,0.0,0.047619047619047616,0.047619047619047616
4047,2010,EDM,43.0,STRUDWICK,D,42.0,0.0,2.0,2.0,0.0,0.047619047619047616,0.047619047619047616
5773,2010,ATL,5.0,STUART,D,22.0,1.0,0.0,1.0,0.045454545454545456,0.0,0.045454545454545456
521,2010,CAR,21.0,BOWMAN,L,22.0,0.0,1.0,1.0,0.0,0.045454545454545456,0.045454545454545456
2443,2010,NYR,4.0,DELZOTTO,D,46.0,2.0,0.0,2.0,0.043478260869565216,0.0,0.043478260869565216
4093,2010,TB,5.0,OHLUND,D,72.0,0.0,3.0,3.0,0.0,0.041666666666666664,0.041666666666666664
936,2010,EDM,33.0,MACINTYRE,L,25.0,0.0,1.0,1.0,0.0,0.04,0.04
5368,2010,VAN,18.0,TANEV,D,26.0,0.0,1.0,1.0,0.0,0.038461538461538464,0.038461538461538464
4779,2010,FLA,48.0,CALLAHAN,D,27.0,0.0,1.0,1.0,0.0,0.037037037037037035,0.037037037037037035
4845,2010,COL,28.0,KOCI,L,28.0,1.0,0.0,1.0,0.03571428571428571,0.0,0.03571428571428571
3727,2010,STL,33.0,STRACHAN,D,28.0,0.0,1.0,1.0,0.0,0.03571428571428571,0.03571428571428571
864,2010,CHI,32.0,SCOTT,D,34.0,0.0,1.0,1.0,0.0,0.029411764705882353,0.029411764705882353
812,2010,CHI,6.0,HENDRY,D,36.0,1.0,0.0,1.0,0.027777777777777776,0.0,0.027777777777777776
2909,2010,NSH,55.0,OBRIEN,D,79.0,2.0,0.0,2.0,0.02531645569620253,0.0,0.02531645569620253
3760,2010,PHX,12.0,BISSONNETTE,L,47.0,1.0,0.0,1.0,0.02127659574468085,0.0,0.02127659574468085
2213,2010,PHX,23.0,EKMANLARSSON,D,48.0,1.0,0.0,1.0,0.020833333333333332,0.0,0.020833333333333332
373,2010,PHI,6.0,ODONNELL,D,79.0,1.0,0.0,1.0,0.012658227848101266,0.0,0.012658227848101266
4246,2010,ANA,12.0,GREEN,C,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1589,2010,ANA,21.0,BROOKBANK,D,40.0,0.0,0.0,0.0,0.0,0.0,0.0
5653,2010,ANA,24.0,BEAUCHEMIN,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2956,2010,ANA,34.0,VOROS,L,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3415,2010,ANA,53.0,FESTERLING,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4299,2010,ANA,63.0,BONINO,C,26.0,0.0,0.0,0.0,0.0,0.0,0.0
5844,2010,ATL,12.0,RISSMILLER,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4081,2010,ATL,26.0,WELCH,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6145,2010,ATL,38.0,POSTMA,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5563,2010,ATL,44.0,KULDA,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5266,2010,ATL,46.0,MACHACEK,R,9.0,0.0,0.0,0.0,0.0,0.0,0.0
6399,2010,ATL,48.0,KLINGBERG,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6299,2010,BOS,34.0,HNIDY,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5278,2010,BOS,43.0,BARTKOWSKI,D,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4815,2010,BOS,72.0,ARNIEL,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6133,2010,BUF,10.0,PARRISH,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4745,2010,BUF,23.0,STUART,L,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4406,2010,BUF,37.0,ELLIS,L,14.0,0.0,0.0,0.0,0.0,0.0,0.0
4353,2010,CAR,27.0,CARSON,D,9.0,0.0,0.0,0.0,0.0,0.0,0.0
5029,2010,CAR,28.0,RODNEY,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5659,2010,CAR,42.0,SUTTER,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3715,2010,CBJ,2.0,GUENIN,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5569,2010,CBJ,7.0,MOORE,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4525,2010,CBJ,12.0,BLUNDEN,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3843,2010,CBJ,29.0,HOLDEN,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6110,2010,CGY,3.0,CARSON,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6116,2010,CGY,19.0,MODIN,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,2010,CGY,41.0,IVANANS,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,2010,CGY,66.0,BRODIE,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3008,2010,CHI,14.0,PIRRI,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6239,2010,CHI,16.0,KRUGER,C,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4216,2010,CHI,16.0,POTULNY,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5677,2010,CHI,23.0,TAFFE,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4011,2010,CHI,47.0,BROPHEY,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4933,2010,CHI,59.0,KLINKHAMMER,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4519,2010,COL,3.0,OBYRNE,D,64.0,0.0,0.0,0.0,0.0,0.0,0.0
6263,2010,COL,5.0,BELLE,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5641,2010,COL,21.0,FORSBERG,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4430,2010,COL,36.0,COHEN,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6346,2010,COL,42.0,MACIAS,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5539,2010,DAL,12.0,SAWADA,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5473,2010,DAL,39.0,MORIN,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5443,2010,DAL,48.0,WATHIER,L,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6245,2010,DAL,73.0,LUKOWICH,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3026,2010,DET,30.0,OSGOOD,,7.0,0.0,0.0,0.0,0.0,0.0,0.0
3475,2010,DET,37.0,JANIK,D,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4951,2010,Def,20.0,STEEN,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4692,2010,Def,91.0,TAVARES,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6044,2010,EDM,37.0,PETIOT,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4632,2010,EDM,45.0,BELLE,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6121,2010,EDM,48.0,PLANTE,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6187,2010,FLA,6.0,DUCO,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3593,2010,FLA,15.0,MCARDLE,L,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5755,2010,FLA,17.0,MCARDLE,L,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5950,2010,FLA,28.0,JESSIMAN,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4827,2010,LA,29.0,ZEILER,R,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4644,2010,LA,74.0,KING,L,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4365,2010,MIN,27.0,ALMOND,C,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4371,2010,MIN,28.0,KASSIAN,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5879,2010,MIN,29.0,ORTMEYER,R,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6305,2010,MIN,34.0,NOREAU,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4572,2010,MIN,38.0,EARL,L,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6227,2010,MIN,39.0,PROSSER,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6358,2010,MIN,42.0,BAGNALL,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2010,MTL,20.0,OBYRNE,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6204,2010,MTL,34.0,DAWES,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5707,2010,MTL,47.0,NASH,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6210,2010,MTL,51.0,PALUSHAJ,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5926,2010,MTL,55.0,SOPEL,D,11.0,0.0,0.0,0.0,0.0,0.0,0.0
5426,2010,MTL,63.0,ENGQVIST,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4341,2010,NJ,14.0,GIONTA,R,11.0,0.0,0.0,0.0,0.0,0.0,0.0
6394,2010,NJ,14.0,HENRIQUE,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5461,2010,NJ,16.0,VASYUNOV,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4174,2010,NJ,21.0,ECKFORD,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1458,2010,NJ,22.0,LETOURNEAULEBLOND,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4335,2010,NJ,29.0,MAGNAN,D,8.0,0.0,0.0,0.0,0.0,0.0,0.0
3879,2010,NJ,29.0,MAGNANGRENIER,D,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2653,2010,NJ,29.0,URBOM,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6269,2010,NJ,33.0,LEACH,D,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4347,2010,NJ,33.0,URBOM,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3540,2010,NSH,3.0,BELAK,R,15.0,0.0,0.0,0.0,0.0,0.0,0.0
5260,2010,NSH,12.0,THURESSON,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2926,2010,NSH,15.0,LOMBARDI,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5035,2010,NSH,28.0,BEGIN,L,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4005,2010,NSH,32.0,LAAKSO,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4198,2010,NSH,58.0,KLASEN,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6352,2010,NYI,29.0,DOORNBOSCH,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5005,2010,NYI,49.0,RAKHSHANI,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6340,2010,NYI,55.0,CAMPANALE,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6382,2010,NYI,55.0,SIMS,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5047,2010,NYR,32.0,WEISE,R,9.0,0.0,0.0,0.0,0.0,0.0,0.0
5455,2010,NYR,39.0,DUPONT,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4058,2010,NYR,86.0,WILLIAMS,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4156,2010,NYR,91.0,GRACHEV,C,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4478,2010,Neu,13.0,REGIN,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5897,2010,OTT,20.0,SVATOS,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6026,2010,OTT,21.0,POTULNY,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6310,2010,OTT,24.0,DACOSTA,C,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5165,2010,OTT,42.0,OBRIEN,C,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5938,2010,OTT,43.0,WICK,R,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5737,2010,OTT,49.0,LESSARD,R,22.0,0.0,0.0,0.0,0.0,0.0,0.0
6364,2010,OTT,58.0,BASS,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
325,2010,PHI,3.0,BARTULIS,D,13.0,0.0,0.0,0.0,0.0,0.0,0.0
5320,2010,PHI,8.0,WALKER,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
6157,2010,PHI,24.0,BOYNTON,D,10.0,0.0,0.0,0.0,0.0,0.0,0.0
6316,2010,PHI,26.0,SYVRET,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5932,2010,PHI,27.0,GUSTAFSSON,D,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6092,2010,PHI,34.0,HOLMSTROM,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5420,2010,PHX,5.0,SUMMERS,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6275,2010,PHX,15.0,HOLLWEG,L,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4543,2010,PHX,29.0,STAFFORD,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5581,2010,PIT,22.0,WALLACE,R,7.0,0.0,0.0,0.0,0.0,0.0,0.0
5623,2010,PIT,23.0,CRAIG,C,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5826,2010,PIT,37.0,STRAIT,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6181,2010,PIT,42.0,POTTER,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4803,2010,SJ,57.0,WINGELS,C,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,2010,SJ,68.0,MCLAREN,L,8.0,0.0,0.0,0.0,0.0,0.0,0.0
5124,2010,SJ,72.0,MASHINTER,L,12.0,0.0,0.0,0.0,0.0,0.0,0.0
4857,2010,STL,19.0,DELLAROVERE,L,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4483,2010,STL,47.0,DRAZENOVIC,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4323,2010,TB,28.0,ROY,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5195,2010,TB,30.0,DESJARDINS,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3796,2010,TB,32.0,SMABY,D,26.0,0.0,0.0,0.0,0.0,0.0,0.0
4501,2010,TB,34.0,POULIOT,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4650,2010,TB,43.0,WRIGHT,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4180,2010,TOR,20.0,HANSON,C,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4115,2010,TOR,33.0,CAPUTI,L,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6370,2010,TOR,39.0,FRATTIN,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5332,2010,TOR,45.0,MUELLER,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,2010,TOR,55.0,HOLZER,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3831,2010,VAN,20.0,PARENT,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4939,2010,VAN,24.0,ANDERSSON,R,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4703,2010,VAN,32.0,PERRAULT,C,7.0,0.0,0.0,0.0,0.0,0.0,0.0
3176,2010,VAN,34.0,DESBIENS,R,12.0,0.0,0.0,0.0,0.0,0.0,0.0
5725,2010,VAN,47.0,SAUVE,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5802,2010,VAN,64.0,OBERG,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5101,2010,WSH,20.0,AUCOIN,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1718,2010,ANA,,TEAM,,,0.0,0.0,0.0,,,
2711,2010,ATL,,TEAM,,,0.0,0.0,0.0,,,
4733,2010,BOS,,TEAM,,,0.0,0.0,0.0,,,
4222,2010,BUF,,TEAM,,,0.0,0.0,0.0,,,
4150,2010,CAR,,TEAM,,,0.0,0.0,0.0,,,
3933,2010,CBJ,,TEAM,,,0.0,0.0,0.0,,,
4234,2010,CGY,,TEAM,,,0.0,0.0,0.0,,,
3421,2010,CHI,,TEAM,,,0.0,0.0,0.0,,,
6958,2010,COL,3.0,O'BYRNE,,,0.0,10.0,10.0,,,
6926,2010,COL,7.0,VAN,,,0.0,2.0,2.0,,,
6743,2010,COL,37.0,O'REILLY,,,0.0,13.0,13.0,,,
4584,2010,COL,,TEAM,,,0.0,0.0,0.0,,,
5171,2010,DAL,,TEAM,,,0.0,0.0,0.0,,,
4567,2010,DET,,TEAM,,,0.0,0.0,0.0,,,
7038,2010,EDM,42.0,O'MARRA,,,0.0,4.0,4.0,,,
3581,2010,EDM,,TEAM,,,0.0,0.0,0.0,,,
3605,2010,FLA,,TEAM,,,0.0,0.0,0.0,,,
4035,2010,LA,,TEAM,,,0.0,0.0,0.0,,,
6994,2010,MIN,19.0,O'SULLIVAN,,,0.0,6.0,6.0,,,
4999,2010,MIN,,TEAM,,,0.0,0.0,0.0,,,
2642,2010,MTL,,TEAM,,,0.0,0.0,0.0,,,
4105,2010,NJ,,TEAM,,,0.0,0.0,0.0,,,
6636,2010,NSH,16.0,O'REILLY,,,0.0,12.0,12.0,,,
6948,2010,NSH,55.0,O'BRIEN,,,0.0,7.0,7.0,,,
3826,2010,NSH,,TEAM,,,0.0,0.0,0.0,,,
2614,2010,NYI,,TEAM,,,0.0,0.0,0.0,,,
6587,2010,NYR,4.0,DEL,,,0.0,9.0,9.0,,,
4258,2010,NYR,,TEAM,,,0.0,0.0,0.0,,,
1800,2010,OTT,,TEAM,,,0.0,0.0,0.0,,,
6956,2010,PHI,6.0,O'DONNELL,,,0.0,14.0,14.0,,,
6415,2010,PHI,21.0,VAN,,,0.0,16.0,16.0,,,
3445,2010,PHI,,TEAM,,,0.0,0.0,0.0,,,
6822,2010,PHX,23.0,EKMAN-LARSSON,,,0.0,10.0,10.0,,,
4041,2010,PHX,,TEAM,,,0.0,0.0,0.0,,,
3903,2010,PIT,,TEAM,,,0.0,0.0,0.0,,,
4809,2010,SJ,,TEAM,,,0.0,0.0,0.0,,,
6884,2010,STL,36.0,D'AGOSTINI,,,0.0,25.0,25.0,,,
4697,2010,STL,,TEAM,,,0.0,0.0,0.0,,,
6538,2010,TB,26.0,ST,,,0.0,69.0,69.0,,,
4053,2010,TB,,TEAM,,,0.0,0.0,0.0,,,
212,2010,TOR,,TEAM,,,0.0,0.0,0.0,,,
3243,2010,VAN,,TEAM,,,0.0,0.0,0.0,,,
2665,2010,WSH,,TEAM,,,0.0,0.0,0.0,,,
