,Season,TeamCode,PlayerNumber,PlayerName,PlayerPosition,GP,Goals,Assists,Points,GoalsPerGame,AssistsPerGame,PointsPerGame
4489,2010,STL,32.0,PORTER,L,45.0,3.0,4.0,7.0,0.06666666666666667,0.08888888888888889,0.15555555555555556
4029,2010,LA,2.0,GREENE,D,71.0,2.0,9.0,11.0,0.028169014084507043,0.1267605633802817,0.15492957746478872
5629,2010,FLA,15.0,SKILLE,R,13.0,1.0,1.0,2.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
3867,2010,NYR,12.0,WHITE,C,13.0,1.0,1.0,2.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
3499,2010,WSH,17.0,KING,L,13.0,0.0,2.0,2.0,0.0,0.15384615384615385,0.15384615384615385
3963,2010,ATL,36.0,BOULTON,L,66.0,6.0,4.0,10.0,0.09090909090909091,0.06060606060606061,0.15151515151515152
2088,2010,WSH,4.0,ERSKINE,D,73.0,4.0,7.0,11.0,0.0547945205479452,0.0958904109589041,0.1506849315068493
2647,2010,WSH,15.0,GORDON,C,60.0,3.0,6.0,9.0,0.05,0.1,0.15
2572,2010,NYI,10.0,MOTTAU,D,20.0,0.0,3.0,3.0,0.0,0.15,0.15
5011,2010,NJ,29.0,SALMELA,D,47.0,1.0,6.0,7.0,0.02127659574468085,0.1276595744680851,0.14893617021276595
467,2010,MIN,23.0,NYSTROM,L,81.0,4.0,8.0,12.0,0.04938271604938271,0.09876543209876543,0.14814814814814814
361,2010,PHI,11.0,BETTS,C,75.0,5.0,6.0,11.0,0.06666666666666667,0.08,0.14666666666666667
2118,2010,WSH,27.0,ALZNER,D,82.0,2.0,10.0,12.0,0.024390243902439025,0.12195121951219512,0.14634146341463414
2106,2010,WSH,55.0,SCHULTZ,D,69.0,1.0,9.0,10.0,0.014492753623188406,0.13043478260869565,0.14492753623188406
3409,2010,STL,75.0,REAVES,R,28.0,2.0,2.0,4.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
5112,2010,EDM,58.0,PETRY,D,35.0,1.0,4.0,5.0,0.02857142857142857,0.11428571428571428,0.14285714285714285
1827,2010,OTT,39.0,CARKNER,D,49.0,1.0,6.0,7.0,0.02040816326530612,0.12244897959183673,0.14285714285714285
5224,2010,ANA,14.0,LAPIERRE,C,21.0,0.0,3.0,3.0,0.0,0.14285714285714285,0.14285714285714285
647,2010,MIN,41.0,FALK,D,21.0,0.0,3.0,3.0,0.0,0.14285714285714285,0.14285714285714285
1415,2010,NJ,28.0,VOLCHENKOV,D,56.0,0.0,8.0,8.0,0.0,0.14285714285714285,0.14285714285714285
