,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,TeamCode,VPlayer,VPosition,HPlayer,HPosition,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,HTeamCode,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player,TBGoalandEvent,Counts,block,faceoff,giveaway,goal,hit,miss,penalty,shot,takeaway,eventvalue,heventvalue,veventvalue,vp,hp,vgp,hgp,gp,plyr
586,2010,20001,226.0,3,EV,131,1069.0,HIT,"TOR #28 ORR HIT MTL #45 PICARD, Off. Zone",TOR,94.0,RW,18.0,RW,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,45.0,PICARD,,,,,,,,,5.0,148.0,,,17.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.07407407407407407,0.33333333333333337,1,1,1,0.33333333333333337
1016,2010,20001,226.0,3,EV,131,1069.0,HIT,"TOR #28 ORR HIT MTL #45 PICARD, Off. Zone",TOR,32.0,LW,28.0,LW,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,45.0,PICARD,,,,,,,,,5.0,148.0,,,17.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.07407407407407407,0.33333333333333337,1,1,1,0.33333333333333337
1446,2010,20001,226.0,3,EV,131,1069.0,HIT,"TOR #28 ORR HIT MTL #45 PICARD, Off. Zone",TOR,20.0,RD,2.0,RD,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,45.0,PICARD,,,,,,,,,5.0,148.0,,,17.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.33333333333333337,0.2222222222222222,1,1,1,0.2222222222222222
1876,2010,20001,226.0,3,EV,131,1069.0,HIT,"TOR #28 ORR HIT MTL #45 PICARD, Off. Zone",TOR,45.0,LD,15.0,LD,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,45.0,PICARD,,,,,,,,,5.0,148.0,,,17.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.33333333333333337,-0.037037037037037035,1,1,1,-0.037037037037037035
2304,2010,20001,226.0,3,EV,131,1069.0,HIT,"TOR #28 ORR HIT MTL #45 PICARD, Off. Zone",TOR,31.0,G,35.0,G,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,45.0,PICARD,,,,,,,,,5.0,148.0,,,17.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963
157,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,17.0,C,42.0,C,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.6666666666666666,-0.48148148148148145,1,1,1,-0.48148148148148145
587,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,94.0,RW,18.0,RW,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.07407407407407407,0.33333333333333337,1,1,1,0.33333333333333337
1017,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,32.0,LW,28.0,LW,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.07407407407407407,0.33333333333333337,1,1,1,0.33333333333333337
1447,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,20.0,RD,15.0,RD,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,-0.33333333333333337,-0.037037037037037035,1,1,1,-0.037037037037037035
1877,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,45.0,LD,22.0,LD,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,-0.33333333333333337,-0.4444444444444444,1,1,1,-0.4444444444444444
