,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,VPlayer1,VPosition1,VPlayer2,VPosition2,VPlayer3,VPosition3,VPlayer4,VPosition4,VPlayer5,VPosition5,VPlayer6,VPosition6,HPlayer1,HPosition1,HPlayer2,HPosition2,HPlayer3,HPosition3,HPlayer4,HPosition4,HPlayer5,HPosition5,HPlayer6,HPosition6,TeamCode,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,VNumber,VName,HTeamCode,HNumber,HName,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player
11,2010,20001,13.0,1,EV,108,1092.0,BLOCK,"TOR #16 MACARTHUR BLOCKED BY  MTL #26 GORGES, Slap, Def. Zone",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,8.0,D,36.0,D,35.0,G,MTL,26.0,GORGES,Slap,D,,,TOR,16.0,MACARTHUR,,,,,,,,,,,,,,,,,,,,,,,,,
12,2010,20001,14.0,1,EV,125,1075.0,HIT,"MTL #75 GILL HIT TOR #16 MACARTHUR, Def. Zone",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,8.0,D,36.0,D,35.0,G,,,,,D,,,,,,,,,,,,,MTL,75.0,GILL,TOR,16.0,MACARTHUR,,,,,,,,,,,,
13,2010,20001,15.0,1,EV,140,1060.0,HIT,"MTL #40 LAPIERRE HIT TOR #36 GUNNARSSON, Off. Zone",17.0,C,40.0,C,94.0,C,20.0,D,45.0,D,31.0,G,84.0,C,18.0,R,28.0,R,8.0,D,36.0,D,35.0,G,,,,,O,,,,,,,,,,,,,MTL,40.0,LAPIERRE,TOR,36.0,GUNNARSSON,,,,,,,,,,,,
15,2010,20001,17.0,1,EV,147,1053.0,FAC,MTL won Off. Zone - MTL #17 BOYD vs TOR #84 GRABOVSKI,17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,84.0,C,18.0,R,28.0,R,8.0,D,36.0,D,35.0,G,,,,,O,,,,,,MTL,MTL,17.0,BOYD,TOR,84.0,GRABOVSKI,,,,,,,,,,,,,,2010-10-07,,,,
16,2010,20001,18.0,1,EV,171,1029.0,GIVE,"TOR&nbsp;GIVEAWAY - #22 BEAUCHEMIN, Def. Zone",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,3.0,D,22.0,D,35.0,G,TOR,22.0,BEAUCHEMIN,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2010,20001,19.0,1,EV,221,979.0,HIT,"MTL #57 POULIOT HIT TOR #11 SJOSTROM, Off. Zone",11.0,C,21.0,R,57.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,11.0,L,2.0,D,15.0,D,35.0,G,,,,,O,,,,,,,,,,,,,MTL,57.0,POULIOT,TOR,11.0,SJOSTROM,,,,,,,,,,,,
18,2010,20001,20.0,1,EV,241,959.0,GIVE,"MTL&nbsp;GIVEAWAY - #76 SUBBAN, Def. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,22.0,D,35.0,G,MTL,76.0,SUBBAN,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2010,20001,21.0,1,EV,249,951.0,HIT,"MTL #81 ELLER HIT TOR #3 PHANEUF, Off. Zone",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,22.0,D,35.0,G,,,,,O,,,,,,,,,,,,,MTL,81.0,ELLER,TOR,3.0,PHANEUF,,,,,,,,,,,,
20,2010,20001,22.0,1,EV,260,940.0,BLOCK,"MTL #81 ELLER BLOCKED BY  TOR #22 BEAUCHEMIN, Tip-In, Def. Zone",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,22.0,D,35.0,G,TOR,22.0,BEAUCHEMIN,Tip-In,D,,,MTL,81.0,ELLER,,,,,,,,,,,,,,,,,,,,,,,,,
21,2010,20001,23.0,1,EV,267,933.0,BLOCK,"MTL #14 PLEKANEC BLOCKED BY  TOR #3 PHANEUF, Wrist, Def. Zone",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,3.0,D,22.0,D,35.0,G,TOR,3.0,PHANEUF,Wrist,D,,,MTL,14.0,PLEKANEC,,,,,,,,,,,,,,,,,,,,,,,,,
23,2010,20001,25.0,1,EV,267,933.0,FAC,TOR won Def. Zone - MTL #11 GOMEZ vs TOR #84 GRABOVSKI,11.0,C,21.0,R,57.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,8.0,D,36.0,D,35.0,G,,,,,D,,,,,,TOR,MTL,11.0,GOMEZ,TOR,84.0,GRABOVSKI,,,,,,,,,,,,,,2010-10-07,,,,
24,2010,20001,26.0,1,EV,287,913.0,HIT,"MTL #57 POULIOT HIT TOR #8 KOMISAREK, Off. Zone",11.0,C,21.0,R,57.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,8.0,D,36.0,D,35.0,G,,,,,O,,,,,,,,,,,,,MTL,57.0,POULIOT,TOR,8.0,KOMISAREK,,,,,,,,,,,,
25,2010,20001,27.0,1,EV,303,897.0,BLOCK,"TOR #84 GRABOVSKI BLOCKED BY  MTL #26 GORGES, Wrist, Def. Zone",11.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,2.0,D,15.0,D,35.0,G,MTL,26.0,GORGES,Wrist,D,,,TOR,84.0,GRABOVSKI,,,,,,,,,,,,,,,,,,,,,,,,,
26,2010,20001,28.0,1,EV,305,895.0,HIT,"TOR #41 KULEMIN HIT MTL #11 GOMEZ, Off. Zone",11.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,84.0,C,16.0,L,41.0,L,2.0,D,15.0,D,35.0,G,,,,,O,,,,,,,,,,,,,TOR,41.0,KULEMIN,MTL,11.0,GOMEZ,,,,,,,,,,,,
27,2010,20001,29.0,1,EV,323,877.0,SHOT,"TOR ONGOAL - #81 KESSEL, Wrist, Off. Zone, 25 ft.",15.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,TOR,81.0,KESSEL,Wrist,O,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2010,20001,30.0,1,EV,329,871.0,SHOT,"TOR ONGOAL - #42 BOZAK, Wrist, Off. Zone, 12 ft.",15.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,TOR,42.0,BOZAK,Wrist,O,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2010,20001,31.0,1,EV,333,867.0,BLOCK,"TOR #2 SCHENN BLOCKED BY  MTL #76 SUBBAN, Slap, Def. Zone",15.0,C,40.0,C,52.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,MTL,76.0,SUBBAN,Slap,D,,,TOR,2.0,SCHENN,,,,,,,,,,,,,,,,,,,,,,,,,
30,2010,20001,32.0,1,EV,374,826.0,GIVE,"MTL&nbsp;GIVEAWAY - #45 PICARD, Def. Zone",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,8.0,D,36.0,D,35.0,G,MTL,45.0,PICARD,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2010,20001,33.0,1,EV,375,825.0,SHOT,"TOR ONGOAL - #8 KOMISAREK, Wrist, Off. Zone, 55 ft.",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,8.0,D,36.0,D,35.0,G,TOR,8.0,KOMISAREK,Wrist,O,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",14.0,C,81.0,C,46.0,L,20.0,D,45.0,D,31.0,G,37.0,C,18.0,R,28.0,R,3.0,D,36.0,D,35.0,G,,,,,O,,,,,,,,,,,,,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,,,,
33,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",14.0,C,81.0,C,46.0,L,20.0,D,45.0,D,31.0,G,37.0,C,18.0,R,28.0,R,3.0,D,22.0,D,35.0,G,TOR,37.0,BRENT,Tip-In,O,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),
34,2010,20001,36.0,1,EV,402,798.0,FAC,MTL won Neu. Zone - MTL #14 PLEKANEC vs TOR #37 BRENT,14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,N,,,,,,MTL,MTL,14.0,PLEKANEC,TOR,37.0,BRENT,,,,,,,,,,,,,,2010-10-07,,,,
